id,control_ref,category,question
1.5,CC6.1,Business Continuity,"[CC6.1] Evidence/Ticket to support performance of the Q1 2026 quarterly backup/restoration test. Please also provide supporting remediation evidence if applicable."
2.4,CC1.1/CC6.7,Change Management,"[CC1.1/CC6.7] Population of code changes and infrastructure changes from 01/01/2026 to current date including GitHub pull requests and env0 deployment runs. After population is received a sample will be selected and additional documentation requested."
2.5,,Change Management,"Provide evidence of the existence of staging environments for: App-A, GitHub, RDS, Snowflake. Include env0 environment inventory showing staging/production separation."
3.1,CC7.2,IT Operations,"[CC7.2] Policy and Procedures related to the job scheduling process including: (1) creation and modification process for job schedules, (2) required approvals before production jobs are submitted, (3) automated tools used to ensure jobs execute as scheduled."
3.3,CC7.2,IT Operations,"[CC7.2] Population of scheduled jobs for the period 01/01/2026 to current date. After population is received a sample will be selected and additional documentation requested."
5.2,CC6.2,Access Control,"[CC6.2] Provide Q1 2026 Privileged and non-privileged Access Reviews for all in-scope systems."
7.1,CC6.3,Logical Access,"[CC6.3] Current account listing and role settings (Segregation of Duties / Role Based Matrices) for: App-A, GitHub, RDS, Snowflake. Include user, generic, and system accounts. After population is received a sample will be selected to support least privilege and separation of duties."
7.2,CC6.3,Logical Access,"[CC6.3] Listing of users with database read-only access (all in-scope databases)."
7.3,CC6.3,Logical Access,"[CC6.3] List of users with ability to make changes to the Production Environment for: App-A, GitHub, RDS, Snowflake. Include env0 team and project role assignments for production environments."
7.4,CC6.3,Logical Access,"[CC6.3] List of users with the ability to deploy builds to Production for: App-A, GitHub, RDS, Snowflake. Include env0 teams with deploy permissions to production projects and GitHub teams with merge/deploy access."
7.5,CC6.3,Logical Access,"[CC6.3] Listing of users with access to the test/staging environment for: App-A, GitHub, RDS, Snowflake."
8.3,CC6.6,Access Management,"[CC6.6] Evidence and tickets to support access changes for the Transfer Samples. If no access change was required provide a summary explanation as to why."
8.4,CC6.6,Access Management,"[CC6.6] Sample evidence to support access changes based on Transfer Samples review results."
8.5,CC6.6,Access Management,"[CC6.6] Population of access modifications for the period 01/01/2025 to current date for: App-A, GitHub, RDS, Snowflake. Include env0 audit log for team membership and role changes. After population is received a sample will be selected."
8.7,CC6.6,Access Management,"[CC6.6] Policy and Procedures supporting the disabling of accounts due to inactivity including the inactivity threshold and automated or manual enforcement process."
10.3,CC8.1,IT Operations,"[CC8.1] See auditor for specific request details — item description not provided in request list."
11.1,CC6.8,Logging & Monitoring,"[CC6.8] Audit logs for the following events on every Monday and Friday from 01/01/2026 through 04/01/2026 for: App-A, GitHub, RDS, Snowflake. Required events: (1) each time a user changes or attempts to change their password including successful and unsuccessful attempts, (2) newly created or removed accounts."
15.3,CC7.1,Vulnerability Management,"[CC7.1] Confirm whether OS patching for servers is also handled automatically through Kandji/MDM as it is for workstations. Confirm whether updates are reviewed and approved before installation."
16.2,CC6.4,Network Security,"[CC6.4] Provide a list of users who are alerted when an unauthorized network connection is detected."
